TABLE	NV3_DUAL_EX_BP_V2_004781				
WAVE	0.511	1.00E+00	1.00E+00	2.34E-14	2.34E-14
WAVE	0.512	1.00E+00	1.00E+00	2.66E-14	2.66E-14
WAVE	0.513	1.00E+00	1.00E+00	3.10E-14	3.10E-14
WAVE	0.514	1.00E+00	1.00E+00	3.70E-14	3.70E-14
WAVE	0.515	1.00E+00	1.00E+00	4.54E-14	4.54E-14
WAVE	0.516	1.00E+00	1.00E+00	5.70E-14	5.70E-14
WAVE	0.517	1.00E+00	1.00E+00	7.35E-14	7.35E-14
WAVE	0.518	1.00E+00	1.00E+00	9.71E-14	9.71E-14
WAVE	0.519	1.00E+00	1.00E+00	1.32E-13	1.32E-13
WAVE	0.52	1.00E+00	1.00E+00	1.83E-13	1.83E-13
WAVE	0.521	1.00E+00	1.00E+00	2.62E-13	2.62E-13
WAVE	0.522	1.00E+00	1.00E+00	3.84E-13	3.84E-13
WAVE	0.523	1.00E+00	1.00E+00	5.79E-13	5.79E-13
WAVE	0.524	1.00E+00	1.00E+00	8.98E-13	8.98E-13
WAVE	0.525	1.00E+00	1.00E+00	1.43E-12	1.43E-12
WAVE	0.526	1.00E+00	1.00E+00	2.35E-12	2.35E-12
WAVE	0.527	1.00E+00	1.00E+00	3.99E-12	3.99E-12
WAVE	0.528	1.00E+00	1.00E+00	6.98E-12	6.98E-12
WAVE	0.529	1.00E+00	1.00E+00	1.26E-11	1.26E-11
WAVE	0.53	1.00E+00	1.00E+00	2.37E-11	2.37E-11
WAVE	0.531	1.00E+00	1.00E+00	4.61E-11	4.61E-11
WAVE	0.532	1.00E+00	1.00E+00	9.32E-11	9.32E-11
WAVE	0.533	1.00E+00	1.00E+00	1.97E-10	1.97E-10
WAVE	0.534	1.00E+00	1.00E+00	4.34E-10	4.34E-10
WAVE	0.535	1.00E+00	1.00E+00	1.01E-09	1.01E-09
WAVE	0.536	1.00E+00	1.00E+00	2.46E-09	2.46E-09
WAVE	0.537	1.00E+00	1.00E+00	6.39E-09	6.39E-09
WAVE	0.538	1.00E+00	1.00E+00	1.77E-08	1.77E-08
WAVE	0.539	1.00E+00	1.00E+00	5.29E-08	5.29E-08
WAVE	0.54	1.00E+00	1.00E+00	1.72E-07	1.72E-07
WAVE	0.541	1.00E+00	1.00E+00	6.23E-07	6.23E-07
WAVE	0.542	1.00E+00	1.00E+00	2.55E-06	2.55E-06
WAVE	0.543	1.00E+00	1.00E+00	1.23E-05	1.23E-05
WAVE	0.544	1.00E+00	1.00E+00	7.43E-05	7.43E-05
WAVE	0.545	9.99E-01	9.99E-01	6.40E-04	6.40E-04
WAVE	0.546	9.88E-01	9.88E-01	1.16E-02	1.16E-02
WAVE	0.547	4.12E-01	4.12E-01	5.88E-01	5.88E-01
WAVE	0.548	7.95E-01	7.95E-01	2.05E-01	2.05E-01
WAVE	0.549	6.13E-01	6.13E-01	3.87E-01	3.87E-01
WAVE	0.55	1.80E-01	1.80E-01	8.20E-01	8.20E-01
WAVE	0.551	1.64E-02	1.64E-02	9.84E-01	9.84E-01
WAVE	0.552	1.18E-02	1.18E-02	9.88E-01	9.88E-01
WAVE	0.553	1.00E-02	1.00E-02	9.90E-01	9.90E-01
WAVE	0.554	1.06E-02	1.06E-02	9.89E-01	9.89E-01
WAVE	0.555	1.01E-02	1.01E-02	9.90E-01	9.90E-01
WAVE	0.556	1.12E-02	1.12E-02	9.89E-01	9.89E-01
WAVE	0.557	9.39E-03	9.39E-03	9.91E-01	9.91E-01
WAVE	0.558	1.01E-02	1.01E-02	9.90E-01	9.90E-01
WAVE	0.559	9.91E-03	9.91E-03	9.90E-01	9.90E-01
WAVE	0.56	8.03E-03	8.03E-03	9.92E-01	9.92E-01
